[49, 1, 40, 43, 44, 52, 1, 49, 37, 34, 1, 34, 53, 30, 32, 49, 1, 42, 34, 30, 43, 38, 43, 36, 1, 44, 35, 7, 1, 52, 34, 47, 34, 1, 44, 47, 1, 37, 44, 52, 1, 49, 37, 34, 1, 38, 49, 34, 42, 48, 1, 52, 34, 47, 34, 1, 49, 44, 1, 31, 34, 1, 33, 38, 48, 49, 47, 38, 31, 50, 49, 34, 33, 12, 1, 52, 37, 30, 49, 1, 49, 37, 34, 54, 1, 52, 34, 47, 34, 1, 36, 44, 38, 43, 36, 1, 49, 44, 1, 49, 47, 54, 1, 32, 37, 30, 41, 41, 34, 43, 36, 38, 43, 36, 1, 49, 44, 42, 44, 47, 47, 44, 52, 1, 44, 43, 1, 48, 50, 43, 33, 30, 54, 1, 52, 30, 48, 1, 49, 44, 1]
[1, 40, 43, 44, 52, 1, 49, 37, 34, 1, 34, 53, 30, 32, 49, 1, 42, 34, 30, 43, 38, 43, 36, 1, 44, 35, 7, 1, 52, 34, 47, 34, 1, 44, 47, 1, 37, 44, 52, 1, 49, 37, 34, 1, 38, 49, 34, 42, 48, 1, 52, 34, 47, 34, 1, 49, 44, 1, 31, 34, 1, 33, 38, 48, 49, 47, 38, 31, 50, 49, 34, 33, 12, 1, 52, 37, 30, 49, 1, 49, 37, 34, 54, 1, 52, 34, 47, 34, 1, 36, 44, 38, 43, 36, 1, 49, 44, 1, 49, 47, 54, 1, 32, 37, 30, 41, 41, 34, 43, 36, 38, 43, 36, 1, 49, 44, 42, 44, 47, 47, 44, 52, 1, 44, 43, 1, 48, 50, 43, 33, 30, 54, 1, 52, 30, 48, 1, 49, 44, 1, 49]
[40, 43, 44, 52, 1, 49, 37, 34, 1, 34, 53, 30, 32, 49, 1, 42, 34, 30, 43, 38, 43, 36, 1, 44, 35, 7, 1, 52, 34, 47, 34, 1, 44, 47, 1, 37, 44, 52, 1, 49, 37, 34, 1, 38, 49, 34, 42, 48, 1, 52, 34, 47, 34, 1, 49, 44, 1, 31, 34, 1, 33, 38, 48, 49, 47, 38, 31, 50, 49, 34, 33, 12, 1, 52, 37, 30, 49, 1, 49, 37, 34, 54, 1, 52, 34, 47, 34, 1, 36, 44, 38, 43, 36, 1, 49, 44, 1, 49, 47, 54, 1, 32, 37, 30, 41, 41, 34, 43, 36, 38, 43, 36, 1, 49, 44, 42, 44, 47, 47, 44, 52, 1, 44, 43, 1, 48, 50, 43, 33, 30, 54, 1, 52, 30, 48, 1, 49, 44, 1, 49, 37]
[43, 44, 52, 1, 49, 37, 34, 1, 34, 53, 30, 32, 49, 1, 42, 34, 30, 43, 38, 43, 36, 1, 44, 35, 7, 1, 52, 34, 47, 34, 1, 44, 47, 1, 37, 44, 52, 1, 49, 37, 34, 1, 38, 49, 34, 42, 48, 1, 52, 34, 47, 34, 1, 49, 44, 1, 31, 34, 1, 33, 38, 48, 49, 47, 38, 31, 50, 49, 34, 33, 12, 1, 52, 37, 30, 49, 1, 49, 37, 34, 54, 1, 52, 34, 47, 34, 1, 36, 44, 38, 43, 36, 1, 49, 44, 1, 49, 47, 54, 1, 32, 37, 30, 41, 41, 34, 43, 36, 38, 43, 36, 1, 49, 44, 42, 44, 47, 47, 44, 52, 1, 44, 43, 1, 48, 50, 43, 33, 30, 54, 1, 52, 30, 48, 1, 49, 44, 1, 49, 37, 34]
[44, 52, 1, 49, 37, 34, 1, 34, 53, 30, 32, 49, 1, 42, 34, 30, 43, 38, 43, 36, 1, 44, 35, 7, 1, 52, 34, 47, 34, 1, 44, 47, 1, 37, 44, 52, 1, 49, 37, 34, 1, 38, 49, 34, 42, 48, 1, 52, 34, 47, 34, 1, 49, 44, 1, 31, 34, 1, 33, 38, 48, 49, 47, 38, 31, 50, 49, 34, 33, 12, 1, 52, 37, 30, 49, 1, 49, 37, 34, 54, 1, 52, 34, 47, 34, 1, 36, 44, 38, 43, 36, 1, 49, 44, 1, 49, 47, 54, 1, 32, 37, 30, 41, 41, 34, 43, 36, 38, 43, 36, 1, 49, 44, 42, 44, 47, 47, 44, 52, 1, 44, 43, 1, 48, 50, 43, 33, 30, 54, 1, 52, 30, 48, 1, 49, 44, 1, 49, 37, 34, 1]
[52, 1, 49, 37, 34, 1, 34, 53, 30, 32, 49, 1, 42, 34, 30, 43, 38, 43, 36, 1, 44, 35, 7, 1, 52, 34, 47, 34, 1, 44, 47, 1, 37, 44, 52, 1, 49, 37, 34, 1, 38, 49, 34, 42, 48, 1, 52, 34, 47, 34, 1, 49, 44, 1, 31, 34, 1, 33, 38, 48, 49, 47, 38, 31, 50, 49, 34, 33, 12, 1, 52, 37, 30, 49, 1, 49, 37, 34, 54, 1, 52, 34, 47, 34, 1, 36, 44, 38, 43, 36, 1, 49, 44, 1, 49, 47, 54, 1, 32, 37, 30, 41, 41, 34, 43, 36, 38, 43, 36, 1, 49, 44, 42, 44, 47, 47, 44, 52, 1, 44, 43, 1, 48, 50, 43, 33, 30, 54, 1, 52, 30, 48, 1, 49, 44, 1, 49, 37, 34, 1, 49]
[1, 49, 37, 34, 1, 34, 53, 30, 32, 49, 1, 42, 34, 30, 43, 38, 43, 36, 1, 44, 35, 7, 1, 52, 34, 47, 34, 1, 44, 47, 1, 37, 44, 52, 1, 49, 37, 34, 1, 38, 49, 34, 42, 48, 1, 52, 34, 47, 34, 1, 49, 44, 1, 31, 34, 1, 33, 38, 48, 49, 47, 38, 31, 50, 49, 34, 33, 12, 1, 52, 37, 30, 49, 1, 49, 37, 34, 54, 1, 52, 34, 47, 34, 1, 36, 44, 38, 43, 36, 1, 49, 44, 1, 49, 47, 54, 1, 32, 37, 30, 41, 41, 34, 43, 36, 38, 43, 36, 1, 49, 44, 42, 44, 47, 47, 44, 52, 1, 44, 43, 1, 48, 50, 43, 33, 30, 54, 1, 52, 30, 48, 1, 49, 44, 1, 49, 37, 34, 1, 49, 44]
[49, 37, 34, 1, 34, 53, 30, 32, 49, 1, 42, 34, 30, 43, 38, 43, 36, 1, 44, 35, 7, 1, 52, 34, 47, 34, 1, 44, 47, 1, 37, 44, 52, 1, 49, 37, 34, 1, 38, 49, 34, 42, 48, 1, 52, 34, 47, 34, 1, 49, 44, 1, 31, 34, 1, 33, 38, 48, 49, 47, 38, 31, 50, 49, 34, 33, 12, 1, 52, 37, 30, 49, 1, 49, 37, 34, 54, 1, 52, 34, 47, 34, 1, 36, 44, 38, 43, 36, 1, 49, 44, 1, 49, 47, 54, 1, 32, 37, 30, 41, 41, 34, 43, 36, 38, 43, 36, 1, 49, 44, 42, 44, 47, 47, 44, 52, 1, 44, 43, 1, 48, 50, 43, 33, 30, 54, 1, 52, 30, 48, 1, 49, 44, 1, 49, 37, 34, 1, 49, 44, 34]
[37, 34, 1, 34, 53, 30, 32, 49, 1, 42, 34, 30, 43, 38, 43, 36, 1, 44, 35, 7, 1, 52, 34, 47, 34, 1, 44, 47, 1, 37, 44, 52, 1, 49, 37, 34, 1, 38, 49, 34, 42, 48, 1, 52, 34, 47, 34, 1, 49, 44, 1, 31, 34, 1, 33, 38, 48, 49, 47, 38, 31, 50, 49, 34, 33, 12, 1, 52, 37, 30, 49, 1, 49, 37, 34, 54, 1, 52, 34, 47, 34, 1, 36, 44, 38, 43, 36, 1, 49, 44, 1, 49, 47, 54, 1, 32, 37, 30, 41, 41, 34, 43, 36, 38, 43, 36, 1, 49, 44, 42, 44, 47, 47, 44, 52, 1, 44, 43, 1, 48, 50, 43, 33, 30, 54, 1, 52, 30, 48, 1, 49, 44, 1, 49, 37, 34, 1, 49, 44, 34, 1]
[34, 1, 34, 53, 30, 32, 49, 1, 42, 34, 30, 43, 38, 43, 36, 1, 44, 35, 7, 1, 52, 34, 47, 34, 1, 44, 47, 1, 37, 44, 52, 1, 49, 37, 34, 1, 38, 49, 34, 42, 48, 1, 52, 34, 47, 34, 1, 49, 44, 1, 31, 34, 1, 33, 38, 48, 49, 47, 38, 31, 50, 49, 34, 33, 12, 1, 52, 37, 30, 49, 1, 49, 37, 34, 54, 1, 52, 34, 47, 34, 1, 36, 44, 38, 43, 36, 1, 49, 44, 1, 49, 47, 54, 1, 32, 37, 30, 41, 41, 34, 43, 36, 38, 43, 36, 1, 49, 44, 42, 44, 47, 47, 44, 52, 1, 44, 43, 1, 48, 50, 43, 33, 30, 54, 1, 52, 30, 48, 1, 49, 44, 1, 49, 37, 34, 1, 49, 44, 34, 1, 49]
